Food Category;Food;r1;r2;r3;r4;r5;r6
Breads;Corn Tortillas;;;x;;;;
Breads;Rye bread;;;;x;;;
Breads;Sourdough bread;;;x;;;;
Breads;White biscuit;;;;x;;;
Breads;White bread;;;x;;;;
Breads;Whole-grain bread;;;;x;;;
Breads;Whole-meal bread;;;;x;;;
Condiments;Ketchup;;;x;;;;
Condiments;Mayonnaise;;;x;;;;
Condiments;Miso;;;x;;;;
Condiments;Mustard;;;x;;;;
Condiments;Soy sauce;;;x;;;;
Dairy;Buttermilk;;;;;x;;
Dairy;Cheese (all varieties, from all milks);;;x;;;;
Dairy;Cream;;;;x;;;
Dairy;Egg whites;;;x;;;;
Dairy;Eggs (whole);;;x;;;;
Dairy;Homogenized milk;;;;x;;;
Dairy;Milk (not pasteurized);;;;x;;;
Dairy;Milk (pasteurized);;;x;;;;
Dairy;Paneer (cheese);;;x;;;;
Dairy;Quark;;;x;;;;
Dairy;Yoghurt (sweetened);;;x;;;;
Dairy;Yoghurt (unsweetened);;;;x;;;
Beverages & Drinks;Beer;;x;;;;;
Beverages & Drinks;Coffee;;x;;;;;
Beverages & Drinks;Coffee substitue drinks;;;;x;;;
Beverages & Drinks;Fruit juice (natural);;;;x;;;
Beverages & Drinks;Fruit juice (sweetened);;x;;;;;
Beverages & Drinks;Liquor;;x;;;;;
Beverages & Drinks;Soda/Pop;;;x;;;;
Beverages & Drinks;Tea (black);;x;;;;;
Beverages & Drinks;Tea (herbal, green);;;;;x;;
Beverages & Drinks;Water (Fiji, Hawaiian, Evian);;;;;x;;
Beverages & Drinks;Water (sparkling);;;x;;;;
Beverages & Drinks;Water (spring);;;;x;;;
Beverages & Drinks;Wine;;;x;;;;
Fats & Oils;Borage oil;;;;;x;;
Fats & Oils;Butter;;;;x;;;
Fats & Oils;Coconut Oil (raw);;;;;x;;
Fats & Oils;Cod liver oil;;;;x;;;
Fats & Oils;Corn oil;;;;x;;;
Fats & Oils;Evening Primrose oil;;;;;x;;
Fats & Oils;Flax seed oil;;;;;x;;
Fats & Oils;Margarine;;;;x;;;
Fats & Oils;Marine lipids;;;;;x;;
Fats & Oils;Olive Oil;;;;;x;;
Fats & Oils;Sesame oil;;;;;x;;
Fats & Oils;Sunflower oil;;;;x;;;
Fruits;Acai Berry;;;;x;;;
Fruits;Apples;;;;x;;;
Fruits;Apricot;;;;x;;;
Fruits;Apricots;;;;x;;;
Fruits;Apricots (dried);;;;x;;;
Fruits;Avocado (protein);;;;;;x;
Fruits;Banana (ripe);;;;;x;;
Fruits;Banana (unripe);;;;x;;;
Fruits;Black currant;;;;x;;;
Fruits;Blackberries;;;;x;;;
Fruits;Blueberry;;;;x;;;
Fruits;Cantaloupe;;;;x;;;
Fruits;Cherry, sour;;;;;x;;
Fruits;Cherry, sweet;;;;x;;;
Fruits;Clementines;;;;x;;;
Fruits;Coconut, fresh;;;;;x;;
Fruits;Cranberry;;;;x;;;
Fruits;Currant;;;;x;;;
Fruits;Dates;;;;x;;;
Fruits;Dates (dried);;;;x;;;
Fruits;Fig juice powder;;;;x;;;
Fruits;Figs (dried);;;;;x;;
Fruits;Figs (raw);;;;;x;;
Fruits;Fresh lemon;;;;;x;;
Fruits;Goji berries;;;;x;;;
Fruits;Gooseberry, ripe;;;;x;;;
Fruits;Grapefruit;;;;x;;;
Fruits;Grapes (ripe);;;;x;;;
Fruits;Italian plum;;;;x;;;
Fruits;Limes;;;;;x;;
Fruits;Mandarin orange;;;x;;;;
Fruits;Mango;;;;x;;;
Fruits;Nectarine;;;;x;;;
Fruits;Orange;;;;x;;;
Fruits;Papaya;;;;x;;;
Fruits;Peach;;;;x;;;
Fruits;Pear;;;;x;;;
Fruits;Pineapple;;;x;;;;
Fruits;Pomegranate;;;x;;;;
Fruits;Rasberry;;;x;;;;
Fruits;Red currant;;;;x;;;
Fruits;Rose hips;;;x;;;;
Fruits;Strawberries;;;;x;;;
Fruits;Strawberry;;;;x;;;
Fruits;Tangerine;;;;x;;;
Fruits;Tomato;;;;;x;;
Fruits;Watermelon;;;;x;;;
Fruits;Yellow plum;;;;x;;;
Grains & Legumes;Basmati rice;;;;x;;;
Grains & Legumes;Brown rice;;;x;;;;
Grains & Legumes;Buckwheat;;;;;x;;
Grains & Legumes;Bulgar wheat;;;;x;;;
Grains & Legumes;Couscous;;;;x;;;
Grains & Legumes;Granulated soy (cooked, ground);;;;;;x;
Grains & Legumes;kamut;;;;;x;;
Grains & Legumes;Lentils;;;;;x;;
Grains & Legumes;Lima beans;;;;;;x;
Grains & Legumes;Oats;;;;x;;;
Grains & Legumes;Rye bread;;;;x;;;
Grains & Legumes;Soy flour;;;;;x;;
Grains & Legumes;Soy lecithin, pure;;;;;;;x
Grains & Legumes;Soy nuts (soaked soy beans, then dried);;;;;;;x
Grains & Legumes;Soybeans, fresh;;;;;;x;
Grains & Legumes;Spelt;;;;;x;;
Grains & Legumes;Tofu;;;;;x;;
Grains & Legumes;Wheat;;;x;;;;
Grains & Legumes;white (navy) beans;;;;;;x;
Meat, Poultry & Fish;Beef;;x;;;;;
Meat, Poultry & Fish;Buffalo;;;x;;;;
Meat, Poultry & Fish;Chicken;;;x;;;;
Meat, Poultry & Fish;Duck;;;x;;;;
Meat, Poultry & Fish;Fresh water fish;;;x;;;;
Meat, Poultry & Fish;Liver;;;;x;;;
Meat, Poultry & Fish;Ocean fish;;;x;;;;
Meat, Poultry & Fish;Organ meats;;;;x;;;
Meat, Poultry & Fish;Oysters;;;;x;;;
Meat, Poultry & Fish;Pork;;x;;;;;
Meat, Poultry & Fish;sardines (canned);;x;;;;;
Meat, Poultry & Fish;Tuna (canned);;x;;;;;
Meat, Poultry & Fish;Veal;;x;;;;;
Meat, Poultry & Fish;Wild salmon,;;;x;;;;
Misc;Apple Cider Vinegar;;;;x;;;
Misc;Baking soda;;;;;;x;
Misc;Bee pollen;;;;;x;;
Misc;Canned foods;;;x;;;;
